Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Alte Römerstraße / Feldkasseler Weg;6033;Stadt Köln;Chorweiler;23.550.989,5;56.562.356,4
Am Baggerfeld / Escher Straße / Bad;0650;StrNRW;Chorweiler;23.504.975,4;56.527.572,2
Blumenbergsweg / Mercatorstraße;6023;Stadt Köln;Chorweiler;23.513.255,4;56.566.051,5
Chorbuschstraße / Am Baggerfeld / Weilerstraße / Auweilerstraße;0624;StrNRW;Chorweiler;23.497.386,8;56.534.660,8
Donatusstraße / Am Pescher Holz;6041;Stadt Köln;Chorweiler;23.509.218,7;56.522.819,3
Donatusstraße / Robert-Koch-Straße / Kapellenweg;6042;Stadt Köln;Chorweiler;23.510.641,1;56.521.282,4
Edsel-Ford-Straße / Oranjehofstraße / Spessartstraße;6028;Stadt Köln;Chorweiler;23.553.254,6;56.547.244,5
Emdener Straße / Ivenshofweg;6032;Stadt Köln;Chorweiler;23.565.740,1;56.539.791,4
Emdener Straße / Wacker Chemie;6031;Stadt Köln;Chorweiler;23.562.810,9;56.543.097,8
Escher Straße / Birkenweg;6046;Stadt Köln;Chorweiler;23.509.801,7;56.519.223,2
Escher Straße / Donatusstraße;0671;StrNRW;Chorweiler;23.505.945,4;56.524.904,9
Escher Straße / Johannesstraße / Longericher Straße / Mengenicher Straße;6044;Stadt Köln;Chorweiler;23.510.409,2;56.517.823,5
Fühlinger Weg / Weilerweg;6009;Stadt Köln;Chorweiler;23.517.282,3;56.541.374,3
Longericher Straße / Donatusstraße / Elisabethstraße;6043;Stadt Köln;Chorweiler;23.512.654,6;56.519.148,0
Mengenicher Straße / Schulstraße / Heinrich-Heine-Ring;6045;Stadt Köln;Chorweiler;23.507.333,6;56.515.206,0
Merianstraße / Cosmasweg;6008;Stadt Köln;Chorweiler;23.520.689,7;56.539.068,1
Merianstraße / Elbeallee;6004;Stadt Köln;Chorweiler;23.520.718,0;56.547.183,2
Merianstraße / Fühlinger Weg;6007;Stadt Köln;Chorweiler;23.518.809,9;56.542.272,7
Merianstraße / Industriestraße;6017;Stadt Köln;Chorweiler;23.539.620,5;56.552.982,4
Merianstraße / Mercatorstraße;6005;Stadt Köln;Chorweiler;23.519.593,7;56.546.406,5
Merianstraße / Weichselring / Athener Ring;6003;Stadt Köln;Chorweiler;23.524.710,0;56.547.830,1
Merianstraße / Willi-Suth-Allee;6002;Stadt Köln;Chorweiler;23.530.405,2;56.546.614,4
Neusser Landstraße / Alte Neusser Landstraße;6036;Stadt Köln;Chorweiler;23.504.479,5;56.595.022,2
Neusser Landstraße / Bayer Dormagen-Nord;0666;StrNRW;Chorweiler;23.493.802,8;56.609.809,1
Neusser Landstraße / Bayer Dormagen-Süd;0665;StrNRW;Chorweiler;23.497.898,9;56.601.177,4
Neusser Landstraße / Chrysanthemenweg;0677;StrNRW;Chorweiler;23.540.174,4;56.539.191,9
Neusser Landstraße / Dornstraße;6037;Stadt Köln;Chorweiler;23.500.888,9;56.597.520,1
Neusser Landstraße / Fühlingen Kirche;6034;Stadt Köln;Chorweiler;23.530.276,9;56.558.103,1
Neusser Landstraße / Merianstraße;6001;Stadt Köln;Chorweiler;23.534.730,7;56.548.889,8
Neusser Landstraße / Roggendorfer Weg;6035;Stadt Köln;Chorweiler;23.529.816,7;56.559.973,1
Neusser Landstraße / Stallagsbergweg  / Asternweg;0676;StrNRW;Chorweiler;23.539.548,8;56.540.417,2
Oranjehofstraße / Parkplatz Ost ;6030;Stadt Köln;Chorweiler;23.552.853,4;56.544.513,3
Parallelweg / Bayer Dormagen - Tor 5 / S-Bahn HST;0667;StrNRW;Chorweiler;23.486.644,6;56.602.755,0
Pescher Weg / Marienberger Weg;6048;Stadt Köln;Chorweiler;23.520.960,2;56.519.620,3
Volkhovener Weg / Johannes-Albers-Straße / Schule;6026;Stadt Köln;Chorweiler;23.525.089,5;56.527.888,6
Volkhovener Weg / Stallagsweg;6025;Stadt Köln;Chorweiler;23.523.869,6;56.531.350,6
Willi-Suth-Allee / Karl-Marx-Allee / Stockholmer Allee;6016;Stadt Köln;Chorweiler;23.530.016,4;56.545.421,5
Worringer Landstraße / BAB57;0619;StrNRW;Chorweiler;23.483.727,2;56.564.442,9
Alte Escher Straße / Ausfahrt Großmarkt;4422 ;Stadt Köln;Ehrenfeld;23.522.607,5;56.508.518,0
Alte Escher Straße / Von-Hünefeld-Straße / BAB57;4419;Stadt Köln;Ehrenfeld;23.521.947,3;56.508.965,1
Äußere Kanalstraße / Butzweilerstraße;4016;Stadt Köln;Ehrenfeld;23.537.952,7;56.485.199,4
Äußere Kanalstraße / Iltisstraße;4838;Stadt Köln;Ehrenfeld;23.533.831,1;56.480.383,0
Äußere Kanalstraße / Nonniweg / Silcherstraße;4138;Stadt Köln;Ehrenfeld;23.525.782,5;56.468.720,8
Äußere Kanalstraße / Ossendorfer Straße / Frohnhofstraße;4017;Stadt Köln;Ehrenfeld;23.534.643,3;56.481.382,6
Butzweilerhofallee / Rudi-Conin-Straße;4429;Stadt Köln;Ehrenfeld;23.519.975,3;56.501.305,4
Butzweilerstraße / Alte Escher Straße;4420;Stadt Köln;Ehrenfeld;23.526.868,3;56.504.955,3
Butzweilerstraße / BAB57;4015;Stadt Köln;Ehrenfeld;23.537.068,1;56.486.232,1
Butzweilerstraße / Butzweilerhofallee / AWB Ossendorf;4013;Stadt Köln;Ehrenfeld;23.526.771,9;56.499.393,6
Butzweilerstraße / Franziska-Anneke-Straße;4014;Stadt Köln;Ehrenfeld;23.535.554,9;56.487.970,8
Butzweilerstraße / Hugo-Eckener-Straße / Ikarosstraße;4029;Stadt Köln;Ehrenfeld;23.527.553,2;56.494.275,4
Butzweilerstraße / IKEA;4421;Stadt Köln;Ehrenfeld;23.526.639,5;56.502.677,1
Ehrenfeldgürtel / Eichendorffstraße;4832;Stadt Köln;Ehrenfeld;23.540.982,3;56.469.973,4
Ehrenfeldgürtel / Försterstraße;4831;Stadt Köln;Ehrenfeld;23.540.567,1;56.469.359,9
Ehrenfeldgürtel / Fridolinstraße;4829;Stadt Köln;Ehrenfeld;23.539.845,2;56.468.218,5
Ehrenfeldgürtel / Hüttenstraße / Stammstraße;4827;Stadt Köln;Ehrenfeld;23.538.109,2;56.465.592,4
Ehrenfeldgürtel / Nußbaumerstraße;4833;Stadt Köln;Ehrenfeld;23.542.141,8;56.471.640,3
Ehrenfeldgürtel / Subbelrather Straße;4828;Stadt Köln;Ehrenfeld;23.539.299,4;56.467.420,2
Ehrenfeldgürtel / Venloer Straße;4826;Stadt Köln;Ehrenfeld;23.536.686,8;56.463.513,9
Fitzmauricestraße / Käthe-Paulus-Straße ;4427;Stadt Köln;Ehrenfeld;23.521.526,1;56.496.803,3
Freimersdorfer Weg / WDR;4009;Stadt Köln;Ehrenfeld;23.495.715,5;56.486.735,8
Hugo-Eckener-Straße / Fitzmauricestraße / Köhlstraße;4428;Stadt Köln;Ehrenfeld;23.523.828,8;56.494.399,1
Hugo-Eckener-Straße / Mathias-Brüggen-Straße;4012;Stadt Köln;Ehrenfeld;23.519.476,4;56.494.484,2
Iltisstraße / Takuplatz / Tondernstraße;4837;Stadt Köln;Ehrenfeld;23.536.912,4;56.475.449,5
Innere Kanalstraße / Am Gleisdreieck;4160;Stadt Köln;Ehrenfeld;23.552.158,2;56.466.549,6
Innere Kanalstraße / Fernmeldeturm;4164;Stadt Köln;Ehrenfeld;23.546.187,5;56.459.348,8
Innere Kanalstraße / Herkulesstraße Nord;4161;Stadt Köln;Ehrenfeld;23.549.731,8;56.463.922,6
Innere Kanalstraße / Herkulesstraße Süd;4162;Stadt Köln;Ehrenfeld;23.548.696,4;56.462.625,9
Innere Kanalstraße / Hornstraße;4159;Stadt Köln;Ehrenfeld;23.553.827,3;56.467.067,0
Innere Kanalstraße / Subbelrather Straße;4163;Stadt Köln;Ehrenfeld;23.547.884,0;56.461.473,2
Innere Kanalstraße / Venloer Straße;4165;Stadt Köln;Ehrenfeld;23.544.734,2;56.457.593,8
Innere Kanalstraße / Vogelsanger Straße;4166;Stadt Köln;Ehrenfeld;23.543.419,3;56.454.985,6
Innere Kanalstraße / Weinsbergstraße;4167;Stadt Köln;Ehrenfeld;23.542.565,6;56.451.760,3
Maarweg / Fuhrpark;4146;Stadt Köln;Ehrenfeld;23.523.468,0;56.464.712,3
Maarweg / Widdersdorfer Straße;4153;Stadt Köln;Ehrenfeld;23.523.365,5;56.459.242,9
Mathias-Brüggen-Straße / Ossendorfer Weg;4028;Stadt Köln;Ehrenfeld;23.519.209,5;56.484.978,8
Melatengürtel / Fröbelstraße;4823;Stadt Köln;Ehrenfeld;23.533.714,7;56.455.984,9
Melatengürtel / Oskar-Jäger-Straße;4822;Stadt Köln;Ehrenfeld;23.532.153,3;56.451.917,8
Melatengürtel / Vogelsanger Straße / Ehrenfeldgürtel;4825;Stadt Köln;Ehrenfeld;23.535.288,4;56.461.609,6
Melatengürtel / Weinsbergstraße;4824;Stadt Köln;Ehrenfeld;23.533.746,0;56.457.859,9
Militärringstraße / Alte Escher Straße;0418;StrNRW;Ehrenfeld;23.520.559,6;56.510.469,6
Militärringstraße / Andreas-Muhr-Straße / KVB-Querung ;4019;Stadt Köln;Ehrenfeld;23.504.448,5;56.487.060,7
Militärringstraße / Buschweg;0416;StrNRW;Ehrenfeld;23.507.677,3;56.500.987,6
Militärringstraße / Goldammerweg;0443;StrNRW;Ehrenfeld;23.503.372,8;56.482.612,5
Militärringstraße / Johannesstraße;0417;StrNRW;Ehrenfeld;23.515.564,5;56.508.042,3
Militärringstraße / Mathias-Brüggen-Straße;4011;Stadt Köln;Ehrenfeld;23.511.235,6;56.505.927,1
Militärringstraße / Ollenhauerring / Hugo-Eckener-Straße;0415;StrNRW;Ehrenfeld;23.505.855,5;56.493.477,7
Militärringstraße / Venloer Straße;4008;Stadt Köln;Ehrenfeld;23.503.963,4;56.485.271,3
Militärringstraße / Vogelsanger Straße / Carl-von-Linne-Weg;0462;StrNRW;Ehrenfeld;23.502.996,5;56.474.029,1
Nußbaumerstraße / Herkulesstraße / Liebigstraße;4103;Stadt Köln;Ehrenfeld;23.546.484,7;56.468.347,5
Nußbaumerstraße / Iltisstraße / Gustav-Freytag-Straße;4836;Stadt Köln;Ehrenfeld;23.538.184,4;56.472.478,8
Nußbaumerstraße / Siemensstraße / Schule;4834;Stadt Köln;Ehrenfeld;23.541.007,5;56.471.870,6
Oskar-Jäger-Straße / Stolberger Straße;4154;Stadt Köln;Ehrenfeld;23.531.256,0;56.453.989,6
Parkgürtel / BAB57;4102;Stadt Köln;Ehrenfeld;23.544.809,2;56.473.869,2
Parkgürtel / Methweg GEW;4101;Stadt Köln;Ehrenfeld;23.546.838,0;56.475.650,8
Parkgürtel / Osterather Straße;4100;Stadt Köln;Ehrenfeld;23.547.974,1;56.477.332,7
Rochusstraße / Justitzvollzugsanstallt / Rektor-Klein-Straße;4839;Stadt Köln;Ehrenfeld;23.528.813,9;56.490.487,7
Rochusstraße / Margaretastraße ;4840;Stadt Köln;Ehrenfeld;23.529.312,1;56.483.479,8
Sandweg / Feltenstraße / Am Rosengarten;4024;Stadt Köln;Ehrenfeld;23.525.336,5;56.478.905,6
Subbelrather Straße / Alpener Straße;4119;Stadt Köln;Ehrenfeld;23.531.872,3;56.472.306,4
Subbelrather Straße / Äußere Kanalstraße;4121;Stadt Köln;Ehrenfeld;23.529.246,0;56.473.914,3
Subbelrather Straße / Gutenbergstraße;4854;Stadt Köln;Ehrenfeld;23.544.384,8;56.463.811,0
Subbelrather Straße / Landmannstraße / Platenstraße;4115;Stadt Köln;Ehrenfeld;23.536.670,4;56.469.109,2
Subbelrather Straße / Leyendeckerstraße / Takustraße;4117;Stadt Köln;Ehrenfeld;23.533.960,7;56.470.906,6
Subbelrather Straße / Liebigstraße / Glasstraße;4856;Stadt Köln;Ehrenfeld;23.542.455,8;56.465.341,5
Subbelrather Straße / Lukasstraße / Körnerstraße;4855;Stadt Köln;Ehrenfeld;23.543.012,4;56.464.854,5
Subbelrather Straße / Marienstraße;4120;Stadt Köln;Ehrenfeld;23.530.204,7;56.473.375,0
Subbelrather Straße / Myliusstraße / Schule;4110;Stadt Köln;Ehrenfeld;23.545.952,2;56.462.737,6
Venloer Straße / Akazienweg;4001;Stadt Köln;Ehrenfeld;23.520.206,5;56.476.283,6
Venloer Straße / Äußere Kanalstraße / Helmholtzstraße;4135;Stadt Köln;Ehrenfeld;23.527.278,3;56.471.052,5
Venloer Straße / B59alt;0435;StrNRW;Ehrenfeld;23.483.073,0;56.500.844,0
Venloer Straße / BAB1-Ost und West;0431;StrNRW;Ehrenfeld;23.490.242,0;56.496.424,0
Venloer Straße / Fa. Gugel;0432;StrNRW;Ehrenfeld;23.489.833,3;56.496.659,8
Venloer Straße / Franz-Geuer-Straße / Piusstraße;4130;Stadt Köln;Ehrenfeld;23.542.624,8;56.458.919,4
Venloer Straße / Freimersdorfer Weg / Andreas-Muhr-Staße;4018;Stadt Köln;Ehrenfeld;23.501.736,8;56.487.162,1
Venloer Straße / Fuchsstraße / Moschee;4129;Stadt Köln;Ehrenfeld;23.544.031,1;56.457.970,6
Venloer Straße / Garzweilerweg;0433;StrNRW;Ehrenfeld;23.488.627,0;56.497.398,0
Venloer Straße / Leyendeckerstraße;4133;Stadt Köln;Ehrenfeld;23.532.033,4;56.468.397,3
Venloer Straße / Mathias-Brüggen-Straße;4002;Stadt Köln;Ehrenfeld;23.516.841,2;56.478.911,2
Venloer Straße / Nattermannallee;0444;StrNRW;Ehrenfeld;23.496.891,7;56.493.013,1
Venloer Straße / Neptunstraße / Klarastraße;4131;Stadt Köln;Ehrenfeld;23.539.094,0;56.461.415,7
Venloer Straße / P+R-West;4007;Stadt Köln;Ehrenfeld;23.505.817,5;56.485.170,8
Venloer Straße / Platenstraße / Bezirksrathaus;4132;Stadt Köln;Ehrenfeld;23.534.328,7;56.466.031,5
Venloer Straße / Seeadlerweg / P+R-Ost;4006;Stadt Köln;Ehrenfeld;23.507.079,8;56.485.231,5
Venloer Straße / Spenrather Straße;0434;StrNRW;Ehrenfeld;23.486.104,0;56.498.956,0
Venloer Straße / Westendstraße / Kolkrabenweg;4004;Stadt Köln;Ehrenfeld;23.512.318,8;56.482.368,4
Venloer Straße / Westfriedhof;4005;Stadt Köln;Ehrenfeld;23.509.792,3;56.483.748,1
Venloer Straße / Wilhelm-Mauser-Straße / Rochusstraße;4136;Stadt Köln;Ehrenfeld;23.525.247,1;56.472.284,9
Venloer Straße / Wolffsohnstraße;4003;Stadt Köln;Ehrenfeld;23.514.975,4;56.480.619,2
Vogelsanger Straße / Äußere Kanalstraße / Maarweg;4144;Stadt Köln;Ehrenfeld;23.524.182,5;56.466.533,5
Vogelsanger Straße / Falkenweg;4027;Stadt Köln;Ehrenfeld;23.514.721,9;56.470.112,6
Vogelsanger Straße / Grüner Weg;4125;Stadt Köln;Ehrenfeld;23.534.317,1;56.462.549,7
Vogelsanger Straße / Leyendeckerstraße / Helmholtzstraße;4143;Stadt Köln;Ehrenfeld;23.529.988,3;56.464.764,2
Vogelsanger Straße / Neptunstraße;4142;Stadt Köln;Ehrenfeld;23.537.806,2;56.459.276,7
Vogelsanger Straße / Thebäerstraße / Mechternstraße;4141;Stadt Köln;Ehrenfeld;23.539.781,6;56.458.050,5
Vogelsanger Straße / Vitalisstraße;4145;Stadt Köln;Ehrenfeld;23.523.420,7;56.466.746,6
Vogelsanger Straße / Vogelsanger Markt / Schule;4026;Stadt Köln;Ehrenfeld;23.511.746,9;56.470.283,7
Vogelsanger Straße / Zufahrt Rheinische Stiftung;4147;Stadt Köln;Ehrenfeld;23.524.577,0;56.466.415,0
Von-Hünefeld-Straße / Butzweilerhofallee / Richard-Byrd-Straße Süd / Adolf-Grimme-Allee ;4430;Stadt Köln;Ehrenfeld;23.517.307,1;56.503.210,2
Von-Hünefeld-Straße / Richard-Byrd-Straße Nord / Ausfahrt Großmarkt;4431;Stadt Köln;Ehrenfeld;23.520.724,8;56.507.646,0
Weinsbergstraße / Baumarkt Bahr;4149;Stadt Köln;Ehrenfeld;23.531.987,2;56.458.065,5
Weinsbergstraße / Friedhof-israelisch / Geisselstraße;4151;Stadt Köln;Ehrenfeld;23.536.582,5;56.455.886,2
Weinsbergstraße / Oskar-Jäger-Straße / Widdersdorfer Straße;4152;Stadt Köln;Ehrenfeld;23.530.252,4;56.458.270,2
Weinsbergstraße / Piusstraße / Schule;4150;Stadt Köln;Ehrenfeld;23.540.492,6;56.453.243,5
Widdersdorfer Straße / Mercedes Allee;4148;Stadt Köln;Ehrenfeld;23.521.378,0;56.459.626,0
Aachener Straße / Aachener Weiher / Richard-Wagner-Straße;1617;Stadt Köln;Innenstadt;23.544.861,6;56.447.985,5
Aachener Straße / Brüsseler Straße;1613;Stadt Köln;Innenstadt;23.548.824,3;56.447.991,3
Aachener Straße / Händelstraße / Brabanter Straße;1611;Stadt Köln;Innenstadt;23.550.932,2;56.447.905,5
Aachener Straße / Moltkestraße;1615;Stadt Köln;Innenstadt;23.547.415,7;56.448.047,6
Agrippinaufer / Gustav-Heinemann-Ufer / Südbrücke;1309;Stadt Köln;Innenstadt;23.573.255,0;56.424.845,0
Agrippinaufer / Oberländer Wall;1398;Stadt Köln;Innenstadt;23.572.488,3;56.427.159,9
Agrippinaufer / Ubierring-Süd ;1308;Stadt Köln;Innenstadt;23.571.331,1;56.431.107,5
Am Bayenturm / Ubierring-Nord / Wender TG;1307;Stadt Köln;Innenstadt;23.571.044,5;56.432.178,8
Am Domhof / Trankgasse;1267;Stadt Köln;Innenstadt;23.566.544,3;56.453.100,0
Am Kümpchenshof / Maybachstraße;1451;Stadt Köln;Innenstadt;23.556.478,7;56.459.610,4
Am Leystapel / Filzengraben;1302;Stadt Köln;Innenstadt;23.568.739,4;56.444.388,2
Am Leystapel / Große Witschgasse / Schokoladenmuseum;1303;Stadt Köln;Innenstadt;23.568.611,6;56.442.943,5
Am Leystapel / Heumarkt / Markmansgasse;1301;Stadt Köln;Innenstadt;23.568.796,1;56.445.756,8
Auenweg / Charles-de-Gaulle-Platz;1176;Stadt Köln;Innenstadt;23.576.140,2;56.453.072,7
Barbarossaplatz Nord / Hohenstaufenring / Roonstraße;1342;Stadt Köln;Innenstadt;23.553.507,6;56.439.760,6
Barbarossaplatz-Süd / Salierring / Pfälzer Straße;1343;Stadt Köln;Innenstadt;23.554.171,7;56.438.768,0
Bayenstraße / Dreikönigenstraße;1306;Stadt Köln;Innenstadt;23.570.031,8;56.434.785,6
Bismarckstraße / Brüsseler Straße;1455;Stadt Köln;Innenstadt;23.549.136,6;56.453.108,9
Bonner Straße / Bonner Wall / Alteburger Wall;1394;Stadt Köln;Innenstadt;23.566.723,3;56.425.059,0
Burgmauer / Neven-DuMont-Straße;1283;Stadt Köln;Innenstadt;23.560.012,3;56.452.831,4
Cäcilienstraße / An Sankt Agatha;1598;Stadt Köln;Innenstadt;23.562.529,7;56.445.941,7
Cäcilienstraße / Antonsgasse;1600;Stadt Köln;Innenstadt;23.561.132,5;56.446.278,7
Cäcilienstraße / Augustinerstraße / Kleine Sandkaul;1596;Stadt Köln;Innenstadt;23.565.242,1;56.446.253,6
Cäcilienstraße / Hohe Straße ;1597;Stadt Köln;Innenstadt;23.563.952,3;56.445.984,9
Cäcilienstraße / Kronengasse;1601;Stadt Köln;Innenstadt;23.559.658,8;56.446.406,7
Cäcilienstraße / Nord-Süd-Fahrt;1599;Stadt Köln;Innenstadt;23.561.805,8;56.446.151,3
Christophstraße / Mohrenstraße / Klingelpütz;1274;Stadt Köln;Innenstadt;23.558.065,6;56.455.182,1
Christophstraße / Probsteigasse / Gereonskloster;1430;Stadt Köln;Innenstadt;23.556.247,7;56.455.925,5
Christophstraße / Von-Werth-Straße;1431;Stadt Köln;Innenstadt;23.555.450,9;56.456.335,2
Deutzer Ring / Gießener Straße;1871;Stadt Köln;Innenstadt;23.589.495,7;56.445.945,1
Deutzer Ring / Kannebäckerstraße;1872;Stadt Köln;Innenstadt;23.587.076,1;56.441.811,0
Deutz-Kalker Straße / Betzdorfer Straße;1193;Stadt Köln;Innenstadt;23.587.130,4;56.447.082,0
Deutz-Kalker Straße / Gummersbacher Straße;1190;Stadt Köln;Innenstadt;23.582.972,8;56.447.941,6
Deutz-Kalker Straße / Östliche Zubringerstraße/ Opladener Straße;1107;Stadt Köln;Innenstadt;23.581.795,8;56.447.958,5
Deutz-Kalker Straße / Reitweg;1192;Stadt Köln;Innenstadt;23.585.385,6;56.446.743,8
Deutz-Kalker-Straße / Deutzer Ring;1801;Stadt Köln;Innenstadt;23.589.803,0;56.447.104,3
Deutz-Mülheimer Straße / Barmer Straße;1110;Stadt Köln;Innenstadt;23.581.233,4;56.452.655,3
Deutz-Mülheimer Straße / Messe-Haupteingang;1111;Stadt Köln;Innenstadt;23.582.037,6;56.454.173,5
Deutz-Mülheimer Straße / Messekreisel Nord;1113;Stadt Köln;Innenstadt;23.583.384,7;56.456.465,2
Deutz-Mülheimer Straße / Messekreisel Ost / Pfälzischer Ring;1114;Stadt Köln;Innenstadt;23.583.686,8;56.455.751,4
Deutz-Mülheimer Straße / Messekreisel Süd / Brügelmannstraße;1112;Stadt Köln;Innenstadt;23.582.952,6;56.455.511,2
Deutz-Mülheimer Straße / Opladener Straße / Justinianstraße;1191;Stadt Köln;Innenstadt;23.579.974,0;56.450.452,0
Eifelplatz / Warnblinkanlage;1386;Stadt Köln;Innenstadt;23.555.211,0;56.433.815,6
Erftstraße / Im Mediapark;1448;Stadt Köln;Innenstadt;23.553.397,4;56.458.914,3
Erftstraße / Maybachstraße / Hermann-Becker-Straße;1452;Stadt Köln;Innenstadt;23.554.910,1;56.458.685,6
Erftstraße / Spichernstraße;1453;Stadt Köln;Innenstadt;23.554.081,1;56.458.797,4
Gladbacher Straße / Erftstraße / Schule;1433;Stadt Köln;Innenstadt;23.551.408,3;56.459.113,3
Gladbacher Straße / Spichernstraße;1432;Stadt Köln;Innenstadt;23.553.140,9;56.457.922,1
Gotenring / Alarichstraße;1104;Stadt Köln;Innenstadt;23.578.866,3;56.444.646,6
